Method,Path,Controller,Auth,Role_Capability,Ownership_Check,DTO_Validation,Response_Data,Rate_Limit,Side_Effects,Idempotency,Test_Coverage
POST,/admin/listings/:id/unverify,admin.controller.ts,JWT,admin,none,none,success,none,resets verificationStatus,yes,structural-only
GET,/admin/reports,admin.controller.ts,JWT,admin,none,none,reports + pagination,none,none,yes,structural-only
POST,/admin/reports/:id/resolve,admin.controller.ts,JWT,admin,none,ResolveReportDto,success,none,resolves report,yes,structural-only
GET,/admin/users,admin.controller.ts,JWT,admin,none,none,users + pagination,none,none,yes,structural-only
POST,/admin/users/:id/toggle-block,admin.controller.ts,JWT,admin,none,none,success,none,toggles isBlocked + increments tokenVersion,yes,structural-only
GET,/admin/leads,admin.controller.ts,JWT,admin,none,none,all leads,none,none,yes,structural-only
GET,/admin/audit-events,admin.controller.ts,JWT,admin,none,none,audit events,none,none,yes,structural-only
GET,/admin/finance/summary,admin.controller.ts,JWT,admin,none,none,finance summary,none,none,yes,structural-only
GET,/admin/tasks/status,admin.controller.ts,JWT,admin,none,none,task status,none,none,yes,structural-only
POST,/admin/tasks/run-sweep,admin.controller.ts,JWT,admin,none,none,sweep result,none,expires listings + cleans OTPs,yes,structural-only
GET,/admin/membership-plans,admin-membership.controller.ts,JWT,admin,none,none,plans list,none,none,yes,structural-only
POST,/admin/membership-plans,admin-membership.controller.ts,JWT,admin,none,CreateMembershipPlanDto,created plan,none,creates plan,no,structural-only
PATCH,/admin/membership-plans/:id,admin-membership.controller.ts,JWT,admin,none,UpdateMembershipPlanDto,updated plan,none,updates plan (no retroactive effect),no,structural-only
GET,/admin/membership-requests,admin-membership.controller.ts,JWT,admin,none,none,requests + pagination + filters,none,none,yes,structural-only
POST,/admin/membership-requests/:id/approve,admin-membership.controller.ts,JWT,admin,none,ApproveMembershipRequestDto,success,none,CAS update to active + writes FinanceLedger + outbox event,yes (idempotency key),FIN-01 / Gate A
POST,/admin/membership-requests/:id/reject,admin-membership.controller.ts,JWT,admin,none,RejectMembershipRequestDto,success,none,sets rejected + outbox event,yes,FIN-01 / Gate A
POST,/admin/membership-requests/:id/refund,admin-membership.controller.ts,JWT,admin,none,RefundMembershipRequestDto,success,none,records refund in FinanceLedger + expires membership,yes,FIN-03 / Gate A
GET,/admin/pricing-seasons,admin-membership.controller.ts,JWT,admin,none,none,seasons list,none,none,yes,structural-only
POST,/admin/pricing-seasons,admin-membership.controller.ts,JWT,admin,none,CreatePricingSeasonDto,created season,none,creates season,no,structural-only
PATCH,/admin/pricing-seasons/:id,admin-membership.controller.ts,JWT,admin,none,UpdatePricingSeasonDto,updated season,none,updates season,no,structural-only
GET,/locations,locations.controller.ts,none,guest,none,none,locations tree,none,none,yes,structural-only
GET,/locations/:slug/children,locations.controller.ts,none,guest,none,none,child locations,none,none,yes,structural-only
GET,/universities,universities.controller.ts,none,guest,none,none,universities list,none,none,yes,structural-only
GET,/users/me,users.controller.ts,JWT,user,yes (own),none,user profile,none,none,yes,structural-only
PATCH,/users/me,users.controller.ts,JWT,user,yes (own),UpdateUserDto,updated user,none,none,no,structural-only
POST,/users/me/change-password,users.controller.ts,JWT,user,yes (own),ChangePasswordDto,success,none,changes password + increments tokenVersion,no,structural-only
PATCH,/listings/:id/rented,listings.controller.ts,JWT,user/admin,yes (owner or admin),none,success,none,marks listing as rented,yes,FE-N09 / Gate D
POST,/listings/:id/confirm-availability,listings.controller.ts,JWT,user/admin,yes (owner or admin),none,success,none,updates refreshedAt + audit event,yes,Gate E / Supply Verification
